iter	Passed	Remaining
0	157	15595
1	169	8323
2	182	5888
3	194	4661
4	206	3914
5	217	3404
6	229	3043
7	241	2773
8	252	2555
9	265	2387
10	276	2238
11	288	2114
12	301	2014
13	314	1933
14	326	1852
15	341	1794
16	353	1728
17	366	1667
18	377	1607
19	387	1551
20	399	1501
21	410	1453
22	420	1408
23	432	1369
24	444	1332
25	455	1297
26	467	1263
27	479	1231
28	490	1202
29	502	1173
30	515	1146
31	526	1119
32	538	1093
33	550	1067
34	561	1043
35	574	1020
36	586	998
37	599	977
38	609	954
39	621	932
40	633	911
41	645	891
42	659	873
43	670	853
44	682	834
45	693	813
46	705	795
47	716	776
48	728	758
49	740	740
50	751	722
51	763	704
52	775	687
53	785	669
54	797	652
55	809	636
56	821	619
57	835	605
58	849	590
59	861	574
60	871	557
61	883	541
62	895	525
63	907	510
64	919	495
65	933	481
66	948	467
67	963	453
68	977	438
69	996	427
70	1010	412
71	1027	399
72	1042	385
73	1061	372
74	1075	358
75	1090	344
76	1106	330
77	1119	315
78	1132	301
79	1149	287
80	1162	272
81	1175	258
82	1188	243
83	1200	228
84	1221	215
85	1234	200
86	1247	186
87	1260	171
88	1274	157
89	1288	143
90	1302	128
91	1316	114
92	1329	100
93	1342	85
94	1354	71
95	1365	56
96	1378	42
97	1390	28
98	1403	14
99	1415	0
